"№ сертификата","Дата внесения в реестр","Срок действия сертификата","Наименование средства (шифр)","Наименования документов, требованиям которых соответствует средство","Схема сертификации","Испытательная лаборатория","Орган по сертификации","Заявитель","Реквизиты заявителя (индекс, адрес, телефон)","Информация об окончании срока технической поддержки, полученная от заявителя"
"3663","2016-11-23","2019-11-23","Cisco 2921","Соответствует требованиям документов: РД МЭ(4)","1","АО «Лаборатория ППШ»","ЗАО «НПП «БИТ»","ООО «БЕЗОПАСНОСТЬ»","192102, г. Санкт-Петербург, ул. Салова, д. 27, лит. А, (812) 411-9115",""
"3664","2016-11-23","2019-11-23","Cisco 2901","Соответствует требованиям документов: РД МЭ(4)","20","АО «Лаборатория ППШ»","ЗАО «НПП «БИТ»","ООО «БЕЗОПАСНОСТЬ»","192102, г. Санкт-Петербург, ул. Салова, д. 27, лит. А, (812) 411-9115",""
"3665","2016-11-23","2024-11-23","устройство однонаправленной передачи аудиоинформации «Аудиовентиль «АД-3»","Соответствует требованиям документов: ТУ","серия","ООО «ЦБИ»","АО «БИТК»","ООО «Профиль Защиты»","141090, Московская обл., г. Королев, мкрн. Юбилейный, ул. Пионерская, д. 1/4, пом. 19, (495) 511-0788","2027-12-31"
"3666","2016-11-25","2029-11-25","средство доверенной загрузки «Dallas Lock»","Соответствует требованиям документов: Требования доверия(2), Требования к СДЗ, Профиль защиты СДЗ(платы расширения второго класса защиты. ИТ.СДЗ.ПР2.ПЗ)","серия","АО «Лаборатория ППШ»","АО «НПО «Эшелон»","ООО «Конфидент»","192029, г. Санкт-Петербург, пр. Обуховской обороны, д. 51, лит. К, (812) 325-1037","2030-11-25"
"3669","2016-12-06","2019-12-06","ШАФЛ#ШЛЮЗ","Соответствует требованиям документов: РД НДВ(4)","1","ЗАО ГИЦ ПС ВТ","ООО «ЦБИ»","ООО «РЕД СОФТ»","121205, г. Москва, территория Сколково инновационного центра, ул. Нобеля, д. 5, эт. 2, пом. 4, (495) 285-6268","2020-12-06"
"3670","2016-11-17","2019-11-17","SAP NetWeaver 7.4 Application Server","Соответствует требованиям документов: РД СВТ(5)","15","АО «БИТК»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «Атомный энергопромышленный комплекс»","119017, г. Москва, ул. Большая Ордынка, д. 24, (495) 933-6040",""
"3672","2016-11-18","2019-11-18","программное обеспечение «Программный комплекс по обеспечению деятельности по профилактике коррупционных и иных правонарушений. Модуль для кадрового подразделения «Справка ГС+» (аналитический блок)»","Соответствует требованиям документов: РД НДВ(2), ТУ","1500","АО «НПО «Эшелон»","ФСТЭК России","Министерство труда и социального развития Российской Федерации","127994, ГСП-4, г. Москва, ул. Ильинка, д. 21, (495) 926-9901",""
"3673","2016-12-06","2019-12-06","МЭ Cisco ASA 5585 с установленным программным обеспечением Cisco Adaptive Security Appliance Software v. 9.1.(7)","Соответствует требованиям документов: РД МЭ(4)","4","ООО «Газинформсервис»","АО «Лаборатория ППШ»","ООО «Газпромнефть-Хантос»","628011, г. Ханты-Мансийск, ул. Ленина, д. 56, 30/33, литер строения А, (3467) 35-4800",""
"3674","2016-12-07","2019-12-07","модуль безопасности «Электронной торговой площадки «etprf.ru»","Соответствует требованиям документов: РД НДВ(4), ТУ","1","ООО «НПО ВС»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Электронная торговая площадка»","420097, Республика Татарстан, г. Казань, ул. Достоевского, д. 66 (800) 700-0369",""
"3675","2016-12-12","2024-12-12","средство защиты информации Secret Net Studio — C","Соответствует требованиям документов: Требования доверия(2), Требования к МЭ, Профиль защиты МЭ(В второго класса защиты. ИТ.МЭ.В2.ПЗ), РД СВТ(3)","серия","АО «НПО «Эшелон»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Код Безопасности»","129515, г. Москва, вн.тер.г. Муниципальный округ Останкинский, ул. Академика Королева, д. 13, стр. 1, пом. 13/8, (495) 982-3020","2028-12-31"
"3676","2016-12-12","2029-12-12","программное изделие «Kaspersky Security 9.0 для Microsoft Exchange Servers»","Соответствует требованиям документов: Требования доверия(2), Требования к САВЗ, Профиль защиты САВЗ(Б второго класса защиты. ИТ.САВЗ.Б2.ПЗ), ЗБ","серия","ЗАО «ВИВОСС и ОИ»","ООО «ЦБИ»","АО «Лаборатория Касперского»","125212, г. Москва, Ленинградское шоссе, д. 39А, стр. 2, (495) 797-8700","2029-12-12"
"3679","2016-12-14","2019-12-14","ПО «Система микропроцессорная управления, регулирования и диагностики «МПСУ-ГТ1Н». Программа управляющая для газотурбовоза ГТ1Н-002»","Соответствует требованиям документов: РД НДВ(4)","50","ООО «ИБТранс»","АО «НИИАС»","АО «ВНИКТИ»","140402, Московская обл., г. Коломна, ул. Октябрьской революции, д. 410, (496) 618-8218, (496) 618-8283",""
"3680","2017-01-25","2020-01-25","защищенное мобильное устройство системы доступа к ресурсам Банка России. Модификация № 2 («ЗМУ-2-ЦБ РФ»)","Соответствует требованиям документов: ТУ","29","АО «ЦБИ-сервис»","ФСТЭК России","Главное управление безопасности и защиты информации Банка России","107016, г. Москва, ул. Неглинная, д. 12, (495) 771-4261",""
